区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1121001X1018,ブロモバレリル尿素,１ｇ,局,,,ブロモバレリル尿素,,,,,7.70 ,,
内用薬,1121001X1220,ブロモバレリル尿素,１ｇ,局,,,ブロムワレリル尿素「ＪＧ」,日本ジェネリック,,,,8.30 ,R5.3.31まで,
内用薬,1123001X1012,抱水クロラール,１ｇ,局,,,抱水クロラール,,,,,36.90 ,,
内用薬,1124001B1039,エスタゾラム,１％１ｇ,,,,ユーロジン散１％,武田テバ薬品,,先発品,,44.60 ,,
内用薬,1124001F1014,エスタゾラム,１ｍｇ１錠,,,,エスタゾラム１ｍｇ錠,,後発品,,,5.90 ,,
内用薬,1124001F1022,エスタゾラム,１ｍｇ１錠,,,,ユーロジン１ｍｇ錠,武田テバ薬品,,先発品,○,6.70 ,,
内用薬,1124001F2010,エスタゾラム,２ｍｇ１錠,,,,エスタゾラム２ｍｇ錠,,後発品,,,8.40 ,,
内用薬,1124001F2029,エスタゾラム,２ｍｇ１錠,,,,ユーロジン２ｍｇ錠,武田テバ薬品,,先発品,○,10.80 ,,
内用薬,1124002M2022,フルラゼパム塩酸塩,１５ｍｇ１カプセル,,,,ダルメートカプセル１５,共和薬品工業,,先発品,,8.80 ,,
内用薬,1124003B1070,ニトラゼパム,１％１ｇ,,,,ネルボン散１％,アルフレッサファーマ,,準先発品,○,13.40 ,,
内用薬,1124003C1092,ニトラゼパム,１％１ｇ,,,,ベンザリン細粒１％,共和薬品工業,,準先発品,○,15.10 ,,
内用薬,1124003C1114,ニトラゼパム,１％１ｇ,,,,ニトラゼパム細粒１％「ＴＣＫ」,辰巳化学,後発品,,,6.30 ,,
内用薬,1124003F1021,ニトラゼパム,２ｍｇ１錠,,,,ベンザリン錠２,共和薬品工業,,,,5.90 ,,
内用薬,1124003F2010,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム５ｍｇ錠,,後発品,,,5.50 ,,
内用薬,1124003F2222,ニトラゼパム,５ｍｇ１錠,,,,ベンザリン錠５,共和薬品工業,,準先発品,○,9.10 ,,
内用薬,1124003F2230,ニトラゼパム,５ｍｇ１錠,,,,ネルボン錠５ｍｇ,アルフレッサファーマ,,準先発品,○,8.70 ,,
内用薬,1124003F3016,ニトラゼパム,１０ｍｇ１錠,,,,ニトラゼパム１０ｍｇ錠,,後発品,,,5.70 ,,
内用薬,1124003F3083,ニトラゼパム,１０ｍｇ１錠,,,,ネルボン錠１０ｍｇ,アルフレッサファーマ,,準先発品,○,14.20 ,,
内用薬,1124003F3121,ニトラゼパム,１０ｍｇ１錠,,,,ベンザリン錠１０,共和薬品工業,,準先発品,○,14.20 ,,
内用薬,1124005C1032,ハロキサゾラム,１％１ｇ,,,,ソメリン細粒１％,アルフレッサファーマ,,先発品,,23.80 ,,
内用薬,1124005F1020,ハロキサゾラム,５ｍｇ１錠,,,,ソメリン錠５ｍｇ,アルフレッサファーマ,,先発品,,15.10 ,,
内用薬,1124005F2027,ハロキサゾラム,１０ｍｇ１錠,,,,ソメリン錠１０ｍｇ,アルフレッサファーマ,,先発品,,22.20 ,,
内用薬,1124007F1011,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム０．１２５ｍｇ錠,,後発品,,,5.70 ,,
内用薬,1124007F1020,トリアゾラム,０．１２５ｍｇ１錠,,,,ハルシオン０．１２５ｍｇ錠,ファイザー,,先発品,○,7.10 ,,
内用薬,1124007F2018,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム０．２５ｍｇ錠,,後発品,,,5.90 ,,
内用薬,1124007F2026,トリアゾラム,０．２５ｍｇ１錠,,,,ハルシオン０．２５ｍｇ錠,ファイザー,,先発品,○,10.70 ,,
内用薬,1124008F1016,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム１ｍｇ錠,,後発品,,,5.70 ,,
内用薬,1124008F1024,フルニトラゼパム,１ｍｇ１錠,,,,サイレース錠１ｍｇ,エーザイ,,先発品,○,10.30 ,,
内用薬,1124008F2012,フルニトラゼパム,２ｍｇ１錠,,,,フルニトラゼパム２ｍｇ錠,,後発品,,,5.90 ,,
内用薬,1124008F2020,フルニトラゼパム,２ｍｇ１錠,,,,サイレース錠２ｍｇ,エーザイ,,先発品,○,11.80 ,,
内用薬,1124009F1010,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラム０．２５ｍｇ錠,,後発品,,,10.10 ,,
内用薬,1124009F1223,ブロチゾラム,０．２５ｍｇ１錠,局,,,レンドルミン錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,16.80 ,,
内用薬,1124009F2017,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,,後発品,,,10.10 ,,
内用薬,1124009F2025,ブロチゾラム,０．２５ｍｇ１錠,,,,レンドルミンＤ錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,16.80 ,,
内用薬,1124010F1021,ロルメタゼパム,１ｍｇ１錠,,,,エバミール錠１．０,バイエル薬品,,先発品,,15.50 ,,
内用薬,1124010F1030,ロルメタゼパム,１ｍｇ１錠,,,,ロラメット錠１．０,あすか製薬,,先発品,,16.80 ,,
内用薬,1124013B1031,オキサゾラム,１０％１ｇ,,,,セレナール散１０％,アルフレッサファーマ,,先発品,,28.70 ,,
内用薬,1124013F1033,オキサゾラム,５ｍｇ１錠,,,,セレナール錠５,アルフレッサファーマ,,先発品,,5.70 ,,
内用薬,1124013F2064,オキサゾラム,１０ｍｇ１錠,,,,セレナール錠１０,アルフレッサファーマ,,先発品,,5.80 ,,
内用薬,1124014B1036,クロキサゾラム,１％１ｇ,,,,セパゾン散１％,アルフレッサファーマ,,先発品,,20.90 ,,
内用薬,1124014F1038,クロキサゾラム,１ｍｇ１錠,,,,セパゾン錠１,アルフレッサファーマ,,先発品,,5.70 ,,
内用薬,1124014F2034,クロキサゾラム,２ｍｇ１錠,,,,セパゾン錠２,アルフレッサファーマ,,先発品,,5.80 ,,
内用薬,1124015M2038,クロラゼプ酸二カリウム,７．５ｍｇ１カプセル,局,,,メンドンカプセル７．５ｍｇ,マイランＥＰＤ,,先発品,,10.10 ,,
内用薬,1124017B1129,ジアゼパム,１％１ｇ,,,,セルシン散１％,武田テバ薬品,,準先発品,○,12.70 ,,
内用薬,1124017B1137,ジアゼパム,１％１ｇ,,,,ジアゼパム散１％「アメル」,共和薬品工業,後発品,,,6.30 ,,
内用薬,1124017B1145,ジアゼパム,１％１ｇ,,,,ホリゾン散１％,丸石製薬,,準先発品,○,12.80 ,,
内用薬,1124017F2011,ジアゼパム,２ｍｇ１錠,,,,ジアゼパム２ｍｇ錠,,後発品,,,5.70 ,,
内用薬,1124017F2135,ジアゼパム,２ｍｇ１錠,局,,,２ｍｇセルシン錠,武田テバ薬品,,準先発品,○,6.00 ,,
内用薬,1124017F2151,ジアゼパム,２ｍｇ１錠,局,,,ホリゾン錠２ｍｇ,丸石製薬,,準先発品,○,6.00 ,,
内用薬,1124017F4014,ジアゼパム,５ｍｇ１錠,,,,ジアゼパム５ｍｇ錠,,後発品,,,5.80 ,,
